"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","dist_equator"
81.5,1600,"Mexico","2012","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
81.5,1400,"Indonesia","2012","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,0.789275
81.5,125,"Brazil","2012","Bourbon","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Bourbon",1,0,0,0,0,0,14.235004
81.42,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
81.42,763,"Mexico","2012","Caturra","Washed / Wet",9,0,0,0,0,1,"Caturra",0,0,1,0,0,1,23.634501
81.42,1750,"Colombia","2011","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0,4.570868
81.33,1100,"Brazil","2015/2016","Catuai","Natural / Dry",14,0,0,0,0,0,"Catuai",0,1,0,0,0,0,14.235004
81.33,1200,"Brazil","2014/2015","Yellow Bourbon","Other",6,0,1,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
81.25,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",1,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0,14.235004
81.25,1700,"Guatemala","2014","Pacamara","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,15.783471
81.25,1700,"Tanzania, United Republic Of","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
81.25,464.5152,"Guatemala","2013","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
81.17,1450,"Honduras","2015","Catuai","Natural / Dry",1,0,0,0,0,0,"Catuai",0,1,0,0,0,0,15.199999
81.17,1800,"Mexico","2012","Typica","Natural / Dry",10,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.634501
81.08,520.257024,"United States","2014","Pache Comun","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1,37.09024
81.08,1500,"Costa Rica","2014","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.748917
81,1600,"Colombia","2016","Caturra","Washed / Wet",4,4,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
81,371.61216,"Guatemala","2015","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
81,758,"Taiwan","2015","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
81,1525,"Tanzania, United Republic Of","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
81,1100,"Mexico","2012","Typica","Washed / Wet",8,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
80.92,1186,"Mexico","2012","Typica","Washed / Wet",12,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
80.83,1100,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
80.83,100,"Mexico","2012","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
80.75,1450,"Honduras","2015","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0,15.199999
80.75,1450,"Honduras","2015","Catuai","Natural / Dry",1,0,0,0,0,0,"Catuai",0,1,0,0,0,0,15.199999
80.75,1000,"Haiti","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,0,18.971187
80.67,995,"Malawi","2014","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0,13.254308
80.67,1550,"Guatemala","2013","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
80.58,1400,"Tanzania, United Republic Of","2014","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
80.5,50,"Taiwan","2017","Other","Natural / Dry",0,0,0,0,0,0,"Other",0,0,0,0,0,1,23.69781
80.5,1500,"Guatemala","2017","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
80.5,1450,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
80.42,1050,"Mexico","2012","Typica","Washed / Wet",6,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
80.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
80.25,995,"Brazil","2017 / 2018","Catuai","Natural / Dry",1,1,0,0,0,0,"Catuai",0,1,0,0,0,0,14.235004
80.25,1600,"Mexico","2016","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,1,23.634501
80.25,1400,"Guatemala","2012","Caturra","Washed / Wet",13,0,0,0,0,1,"Caturra",0,0,1,0,0,0,15.783471
80.17,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
80.17,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",5,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
80.08,850,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
80,1400,"Mexico","2014","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79.92,1100,"Mexico","2012","Other","Washed / Wet",8,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
79.92,1250,"Mexico","2012","Typica","Natural / Dry",6,0,0,0,0,0,"Typica",0,0,0,1,0,1,23.634501
79.92,1250,"Mexico","2012","Mundo Novo","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
79.83,1700,"Guatemala","2017","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
79.75,1100,"Costa Rica","2013","Catuai","Washed / Wet",4,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.748917
79.75,1022,"Mexico","2013","Bourbon","Washed / Wet",4,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
79.75,1450,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
79.75,1050,"Mexico","2012","Typica","Washed / Wet",23,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79.67,371.61216,"Guatemala","2016","Bourbon","Washed / Wet",1,2,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
79.67,975,"Mexico","2012","Caturra","Washed / Wet",11,0,0,0,0,1,"Caturra",0,0,1,0,0,1,23.634501
79.58,1250,"Mexico","2012","Typica","Washed / Wet",11,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79.5,1550,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,4.570868
79.5,1100,"Mexico","2012","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79.42,371.61216,"Guatemala","2014","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0,15.783471
79.33,750,"Mexico","2012","Typica","Washed / Wet",19,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79.25,850,"Taiwan","2014","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
79.17,1650,"Honduras","2017","Catuai","Washed / Wet",5,0,0,0,0,1,"Catuai",0,1,0,0,0,0,15.199999
79.17,1320,"Guatemala","2016","Bourbon","Washed / Wet",6,8,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
79.17,1550,"Guatemala","2015","Catuai","Washed / Wet",6,0,0,0,0,1,"Catuai",0,1,0,0,0,0,15.783471
79.17,1450,"Mexico","2012","Typica","Washed / Wet",34,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79.08,1700,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
79.08,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,NA
79.08,1500,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
79,1400,"Peru","2012","Typica","Washed / Wet",4,0,0,0,0,1,"Typica",0,0,0,1,0,0,9.189967
78.83,1100,"Nicaragua","2016","Caturra","Other",4,2,1,0,0,0,"Caturra",0,0,1,0,0,0,12.865416
78.75,1250,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,0,0,1,0,"Typica",0,0,0,1,0,1,23.634501
78.67,1850,"China","2013","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1,35.86166
78.58,1400,"Mexico","2012","Typica","Washed / Wet",1,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
78.5,1200,"Mexico","2012","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,1,23.634501
78,850,"Mexico","2012","Other","Washed / Wet",9,0,0,0,0,1,"Other",0,0,0,0,0,1,23.634501
77.92,1248,"Mexico","2012","Typica","Washed / Wet",3,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
77.83,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
77.67,775,"Taiwan","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.69781
77.42,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",17,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
77,1200,"Peru","2014","Caturra","Washed / Wet",16,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.189967
76.33,399.483072,"Guatemala","2012","Bourbon","Washed / Wet",8,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
76.17,1400,"Mexico","2012","Typica","Washed / Wet",6,0,0,0,0,1,"Typica",0,0,0,1,0,1,23.634501
76.08,1250,"Mexico","2012","Bourbon","Washed / Wet",12,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
76,1350,"Honduras","2014","Pacas","Natural / Dry",7,0,0,0,0,0,"Other",0,0,0,0,0,0,15.199999
75.83,1000,"Philippines","2012","","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0,12.879721
74.33,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",2,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,15.783471
73.42,1350,"Honduras","2014","Pacas","Washed / Wet",17,0,0,0,0,1,"Other",0,0,0,0,0,0,15.199999
68.33,900,"Mexico","2012","Bourbon","Washed / Wet",20,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,23.634501
63.08,1100,"Nicaragua","2016","Caturra","Other",6,0,1,0,0,0,"Caturra",0,0,1,0,0,0,12.865416
